EmployeeID,Age,Attrition,Department,DistanceFromHome,EducationField,Gender,MonthlyIncome,MaritalStatus,JobRole,OverTime,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,YearsAtCompany,BusinessTravel,WorkLifeBalance
1,28,No,Sales,2,Human Resources,Male,7506,Married,Manager,No,3,2,1,4,Non-Travel,2
2,47,No,Sales,9,Technical Degree,Male,12195,Divorced,Sales Executive,Yes,3,4,2,18,Travel_Frequently,4
3,32,No,Sales,26,Human Resources,Female,8514,Married,Sales Executive,Yes,3,3,4,4,Travel_Frequently,1
4,40,No,Sales,2,Other,Male,12044,Single,Sales Executive,No,3,4,3,20,Travel_Frequently,1
5,55,No,Sales,22,Marketing,Female,9227,Single,Sales Executive,No,4,4,1,12,Travel_Rarely,2
6,35,No,Sales,27,Life Sciences,Female,10573,Single,Sales Executive,No,3,4,3,18,Travel_Rarely,4
7,34,No,Sales,5,Medical,Female,14762,Married,Manager,No,3,4,3,16,Travel_Frequently,4
8,40,No,Sales,5,Life Sciences,Male,6593,Single,Sales Representative,No,3,2,4,17,Travel_Frequently,1
9,47,No,Sales,25,Other,Male,11669,Divorced,Sales Representative,No,4,4,3,1,Non-Travel,1
10,33,No,Sales,28,Human Resources,Male,3053,Single,Sales Representative,No,4,4,2,9,Non-Travel,2
11,33,No,Sales,29,Life Sciences,Male,11689,Married,Manager,No,4,4,2,11,Travel_Frequently,1
12,46,No,Sales,18,Other,Male,4403,Married,Sales Executive,No,3,2,3,18,Travel_Rarely,4
13,45,No,Sales,15,Technical Degree,Female,14302,Divorced,Manager,Yes,3,3,2,13,Non-Travel,2
14,25,Yes,Sales,29,Medical,Male,4268,Single,Manager,Yes,3,1,3,0,Travel_Frequently,1
15,36,No,Sales,26,Medical,Female,10953,Married,Manager,Yes,4,2,2,19,Non-Travel,1
16,31,Yes,Sales,24,Life Sciences,Male,3734,Married,Sales Representative,Yes,4,3,1,0,Non-Travel,2
17,33,Yes,Sales,4,Technical Degree,Male,2574,Divorced,Sales Representative,Yes,3,2,1,3,Travel_Frequently,1
18,55,No,Sales,1,Medical,Male,5724,Married,Sales Executive,No,4,3,3,7,Travel_Frequently,4
19,50,No,Sales,19,Medical,Female,12105,Single,Manager,No,3,3,3,5,Travel_Rarely,1
20,32,Yes,Sales,13,Other,Male,4175,Single,Manager,Yes,3,3,2,0,Travel_Rarely,1
21,41,No,Sales,13,Medical,Female,12562,Married,Manager,No,3,3,3,9,Travel_Rarely,4
22,52,No,Sales,5,Human Resources,Male,3152,Married,Sales Executive,No,4,4,1,4,Travel_Rarely,2
23,33,No,Sales,29,Other,Female,11900,Single,Sales Representative,No,3,4,3,17,Travel_Rarely,1
24,51,No,Sales,21,Medical,Female,5546,Divorced,Manager,No,4,4,4,7,Non-Travel,3
25,55,No,Sales,9,Medical,Female,4512,Divorced,Sales Executive,No,3,3,4,2,Travel_Rarely,4
26,31,No,Sales,2,Technical Degree,Male,14321,Single,Sales Executive,No,4,4,3,2,Travel_Frequently,1
27,34,No,Sales,26,Medical,Male,7088,Single,Manager,No,3,3,4,18,Travel_Frequently,1
28,30,Yes,Sales,28,Technical Degree,Male,4743,Single,Sales Representative,No,4,1,2,2,Travel_Frequently,2
29,42,No,Sales,9,Technical Degree,Male,8000,Married,Sales Representative,No,3,2,3,8,Travel_Rarely,3
30,40,No,Sales,2,Human Resources,Male,11785,Married,Manager,No,3,2,4,4,Travel_Frequently,3
31,38,No,Sales,23,Marketing,Male,12932,Single,Sales Representative,No,4,2,1,13,Non-Travel,2
32,30,No,Sales,22,Human Resources,Female,8409,Married,Manager,No,4,4,3,4,Non-Travel,4
33,45,No,Sales,27,Technical Degree,Female,6143,Divorced,Sales Executive,No,3,3,3,6,Non-Travel,3
34,53,No,Sales,26,Human Resources,Male,12939,Married,Manager,No,3,3,1,15,Travel_Frequently,3
35,48,No,Sales,2,Medical,Male,8491,Single,Manager,Yes,3,2,4,10,Travel_Rarely,1
36,48,No,Sales,23,Medical,Male,6185,Divorced,Manager,No,3,3,1,16,Travel_Frequently,4
37,53,No,Sales,22,Medical,Female,11486,Married,Manager,No,4,4,4,8,Travel_Rarely,4
38,45,No,Sales,25,Other,Male,5607,Married,Sales Representative,No,4,3,2,15,Travel_Frequently,3
39,50,No,Sales,13,Medical,Male,6841,Single,Sales Representative,No,3,3,2,18,Travel_Rarely,1
40,38,No,Sales,16,Human Resources,Male,10633,Married,Manager,No,3,2,3,14,Travel_Frequently,3
41,55,No,Sales,14,Medical,Female,11818,Married,Sales Representative,No,4,4,1,20,Travel_Rarely,4
42,49,No,Sales,19,Technical Degree,Male,14864,Divorced,Sales Representative,Yes,3,3,1,5,Non-Travel,4
43,32,Yes,Sales,9,Marketing,Female,2205,Married,Sales Executive,Yes,3,2,4,1,Travel_Frequently,1
44,29,No,Sales,20,Medical,Male,6673,Single,Sales Representative,No,3,4,2,2,Travel_Rarely,2
45,31,No,Sales,4,Medical,Male,6571,Married,Manager,No,3,3,3,12,Travel_Rarely,4
46,50,No,Sales,26,Other,Female,4245,Divorced,Sales Executive,No,3,4,1,8,Travel_Rarely,3
47,49,No,Sales,12,Life Sciences,Female,4129,Married,Sales Representative,No,4,3,2,1,Travel_Frequently,4
48,33,Yes,Sales,27,Marketing,Female,3106,Single,Manager,No,3,3,3,3,Non-Travel,4
49,42,No,Sales,7,Medical,Female,12999,Married,Manager,No,4,3,3,1,Travel_Frequently,3
50,47,No,Sales,16,Other,Male,7526,Married,Manager,No,3,4,4,7,Travel_Rarely,4
51,28,No,Sales,17,Technical Degree,Female,7820,Divorced,Sales Executive,Yes,4,4,4,8,Travel_Frequently,3
52,42,No,Sales,25,Other,Male,8023,Divorced,Sales Representative,No,3,2,2,7,Travel_Frequently,2
53,36,No,Sales,8,Medical,Male,12659,Married,Manager,No,4,4,2,20,Travel_Frequently,3
54,33,Yes,Sales,19,Life Sciences,Female,3123,Single,Sales Executive,Yes,4,1,4,4,Travel_Rarely,4
55,33,No,Sales,19,Technical Degree,Female,7136,Single,Sales Executive,No,3,3,2,4,Travel_Rarely,2
56,37,No,Sales,15,Human Resources,Male,7066,Married,Sales Executive,Yes,4,3,3,20,Non-Travel,4
57,47,No,Sales,3,Marketing,Male,12988,Divorced,Sales Executive,No,3,2,2,7,Non-Travel,2
58,33,No,Sales,23,Medical,Male,9693,Married,Sales Executive,No,4,4,4,16,Travel_Frequently,1
59,36,No,Sales,9,Other,Male,12663,Single,Manager,No,3,2,1,14,Travel_Rarely,1
60,29,Yes,Sales,18,Marketing,Female,4331,Divorced,Manager,No,4,2,4,0,Travel_Frequently,1
61,41,No,Sales,19,Other,Male,8280,Married,Manager,No,3,2,2,3,Travel_Rarely,4
62,42,No,Sales,11,Marketing,Female,5973,Married,Sales Representative,No,4,3,1,16,Travel_Rarely,2
63,50,No,Sales,9,Life Sciences,Female,7722,Married,Sales Representative,No,4,3,1,18,Travel_Rarely,4
64,54,No,Sales,20,Human Resources,Male,13775,Married,Sales Executive,No,4,3,4,14,Travel_Rarely,1
65,33,Yes,Sales,10,Other,Male,3179,Single,Sales Executive,Yes,3,3,4,3,Travel_Frequently,1
66,54,No,Sales,9,Human Resources,Female,10560,Divorced,Sales Executive,No,4,4,4,5,Travel_Frequently,4
67,45,No,Sales,25,Life Sciences,Male,9284,Married,Sales Executive,Yes,4,4,3,17,Non-Travel,3
68,37,No,Sales,12,Human Resources,Female,7891,Married,Manager,No,4,4,4,16,Travel_Rarely,4
69,55,No,Sales,16,Marketing,Male,14427,Divorced,Sales Executive,No,4,3,4,8,Travel_Frequently,2
70,29,No,Sales,1,Human Resources,Male,11229,Married,Sales Executive,No,3,3,4,4,Travel_Frequently,2
71,29,Yes,Sales,23,Marketing,Female,4552,Divorced,Sales Representative,No,4,3,1,0,Non-Travel,1
72,49,No,Sales,23,Technical Degree,Male,6727,Single,Sales Representative,No,4,3,1,4,Non-Travel,1
